"Address","Address - Zip Code","Listing Date","Listing Price","Pending Date","Price Per Sq Ft","Selling Date","Selling Price"
"9741 Cole Dr Stockton, CA 95212-2025","95212","09/16/10","74900","11/02/10","108.33","12/22/10","78000"
"4818 Quashnick Rd Stockton, CA 95212-2500","95212","10/27/12","85000","10/27/12","102.91","07/03/13","85000"
"9721 Leland Way Stockton, CA 95212-2415","95212","04/27/10","108000","05/06/10","56.66","06/09/10","105000"
"4930 Quashnick Rd Stockton, CA 95212-2514","95212","09/10/13","96000","09/25/13","100.62","12/02/13","106251"
"4718 Quashnick Rd Stockton, CA 95212-2516","95212","05/14/09","104900","07/29/09","114.45","10/28/09","115367"
"4840 Balsam Dr Stockton, CA 95212-2110","95212","05/12/13","124000","05/15/13","82.74","06/13/13","116000"
"4806 Cosmos Dr Stockton, CA 95212-2116","95212","05/20/09","99000","08/21/09","124.50","03/09/10","125000"
"10333 Garnet Ave Stockton, CA 95212-2134","95212","02/18/09","119900","03/26/09","135.00","06/03/09","135000"
"4670 Eastview Dr Stockton, CA 95212-2122","95212","03/30/09","99900","04/08/09","111.41","05/22/09","125000"
"4825 E Quashnick Rd Stockton, CA 95212","95212","11/14/08","125900","12/21/08","144.68","01/30/09","125000"
"4805 Cosmos Dr Stockton, CA 95212-2115","95212","05/27/11","119900","06/03/11","112.69","07/22/11","119000"
"4740 Quashnick Rd, Stockton, CA 95212-2516","95212","10/06/11","118900","10/14/11","112.59","02/01/12","118900"
"8245 Bennett Stockton, CA 95212-2202","95212","02/24/15","150000","02/26/15","71.75","03/20/15","142500"
"4705 Dahlia Stockton, CA 95212","95212","11/30/13","150000","12/03/13","116.10","01/10/14","150000"
"4756 Hibiscus Rd Stockton, CA 95212-2520","95212","09/02/10","145000","09/13/10","105.59","10/11/10","155000"
"10269 Freesia Ave Stockton, CA 95212-2136","95212","07/29/12","114000","07/30/12","97.69","11/16/12","114000"
"4746 Eastview Dr Stockton, CA 95212-2122","95212","03/29/12","110000","12/28/12","90.76","02/15/13","110000"
"4509 Shippee Ln Stockton, CA 95212-1300","95212","02/25/11","110000","03/24/11","85.94","04/29/11","110000"
"10008 Freesia Ave, Stockton, CA 95212-2131","95212","06/22/15","170000","07/21/15","132.01","07/31/15","160000"
"4625 Quashnick Rd, Stockton, CA 95212-2517","95212","02/26/16","180000","03/13/16","176.21","04/28/16","160000"
"4657 Cosmos Dr Stockton, CA 95212-2113","95212","04/17/12","94000","06/26/12","101.61","07/13/12","107500"
"4650 Balsam Dr Stockton, CA 95212-2141","95212","11/13/14","174900","12/12/14","158.65","01/08/15","165000"
"4720 Dahlia Dr Stockton, CA 95212-2118","95212","07/31/12","99900","08/07/12","77.74","08/24/12","95000"
"4655 Quashnick Rd Stockton, CA 95212-2517","95212","01/21/10","92800","01/25/11","59.43","09/20/11","88199"
"4637 Dahlia Dr Stockton, CA 95212-2117","95212","04/22/10","110950","06/28/10","83.83","06/29/10","85000"
