Address,Address - Zip Code,Listing Date,Listing Price,Pending Date,Price Per Sq Ft,Selling Date,Selling Price
"554 N Loma Dr Lodi, CA 95242",95242,1/13/2012,15000,10/15/2012,18.09,10/31/2012,11000
"224 Rush St Lodi, CA 95240-2326",95240,2/14/2011,67900,4/19/2011,13.18,6/2/2011,15000
"322-1/2 E Elm St Lodi, CA 95240-2308",95240,12/18/2008,31900,3/30/2009,34.54,4/24/2009,20000
"325-1/2 Hilborn St Lodi, CA 95240-4139",95240,8/24/2011,22000,8/29/2011,45.19,10/20/2011,23500
"333 E Elm St Lodi, CA 95240-2307",95240,7/15/2012,25000,10/17/2012,50.3,10/26/2012,25000
"532-1/2 E Tokay St Lodi, CA 95240-4229",95240,11/10/2008,31800,12/8/2008,35.02,1/19/2009,25215
"700 McCoy Ct #73 Lodi, CA 95240",95240,1/12/2011,42300,4/22/2011,29.52,5/5/2011,25236
"312-1/2 Flora St Lodi, CA 95240-4117",95240,1/7/2010,39000,4/21/2011,48.33,4/21/2011,26000
"700 Mccoy Ct #73 Lodi, CA 95240-7162",95240,10/27/2011,30000,1/9/2012,30.99,3/9/2012,26500
"405-1/2 E Elm St Lodi, CA 95240-2309",95240,3/19/2009,19500,3/23/2009,57.69,4/16/2009,27000
"700 W Mccoy Ct #9 Lodi, CA 95240",95240,4/20/2011,40000,8/30/2011,31.54,9/27/2011,27000
"445 Almond Dr #138 Lodi, CA 95240-6378",95240,6/25/2009,29700,9/4/2009,47.98,10/7/2009,28500
"305-1/2 Hilborn St Lodi, CA 95240-4139",95240,12/31/2008,31200,1/16/2009,88.69,3/6/2009,29000
"445 Almond Dr #106 Lodi, CA 95240-6374",95240,10/7/2011,30000,2/13/2012,48.82,2/17/2012,29000
"700 Mccoy Ct #14 Lodi, CA 95240-8103",95240,6/16/2011,30100,9/15/2011,33.97,10/14/2011,30100
"505-1/2 Harold St Lodi, CA 95240-4221",95240,8/29/2009,17900,8/31/2009,63.64,9/30/2009,31500
"2524 Winchester St #16 Lodi, CA 95240-8111",95240,11/10/2011,27500,12/29/2011,38.51,2/8/2012,31500
"445 E Almond - 133 Dr Lodi, CA 95207-8107",95240,10/17/2013,15000,11/6/2013,30.33,11/22/2013,31700
"334-1/2 E Oak St Lodi, CA 95240-2918",95240,8/1/2009,31499,8/17/2009,66.15,9/16/2009,31750
"445 Almond Dr #38 Lodi, CA 95240-6342",95240,8/4/2009,32000,8/10/2009,38.1,9/11/2009,32000
"445 Almond Dr #135 Lodi, CA 95240-6378",95240,2/25/2010,32283,3/18/2010,53.87,4/5/2010,32000
"445 Almond Dr #81 Lodi, CA 95240-6370",95240,4/3/2012,32900,5/8/2012,34.86,6/28/2012,32000
"700 Mccoy Ct #42 Lodi, CA 95240-8109",95240,2/17/2012,29000,2/27/2012,37.63,3/30/2012,32100
"445 Almond Dr #33 Lodi, CA 95240-6341",95240,10/18/2012,32500,10/29/2012,38.69,2/11/2013,32500
"700 Mccoy Ct #64 Lodi, CA 95240-7162",95240,5/18/2012,33000,6/11/2012,38.51,6/22/2012,33000
"121 N Central Ave Lodi, CA 95240-2303",95240,6/1/2012,36900,6/12/2012,49.7,7/5/2012,33000
"321 Forrest Ave #1/2 Lodi, CA 95240-1111",95240,7/6/2011,50000,11/2/2011,21.94,11/29/2011,33500
"425-1/2 Flora St Lodi, CA 95240-4209",95240,12/5/2010,33619,6/9/2011,76.41,7/28/2011,33619
"516-alley E Tokay St Lodi, CA 95240-4229",95240,4/28/2010,30000,5/11/2010,70.83,6/9/2010,34000
"894 Rutledge Dr Lodi, CA 95242-2140",95242,5/9/2011,39900,5/24/2011,37.04,6/16/2011,34000
"413-1/2 E Elm St Lodi, CA 95240-2309",95240,7/25/2011,34900,1/27/2012,64.51,2/28/2012,34900
"700 W Mccoy Ct #25 Lodi, CA 95240-8106",95240,10/22/2008,69900,12/4/2008,50.95,12/24/2008,35000
"612 S Central Ave Lodi, CA 95240-4108",95240,8/24/2010,44900,2/15/2011,30.3,3/1/2011,35000
"700 Mccoy Ct #41 Lodi, CA 95240-8109",95240,7/20/2011,34900,2/13/2012,41.03,3/23/2012,35000
"445 E Almond Dr #29 Lodi, CA 95242-4768",95242,6/4/2012,41900,6/21/2012,41.67,7/13/2012,35000
"625 N Church St #14 Lodi, CA 95240-1288",95240,3/22/2012,35000,8/3/2012,48.48,9/10/2012,35000
"739 S Washington St Lodi, CA 95240-4837",95240,11/7/2011,42700,8/29/2012,85.37,10/17/2012,35000
"700 Mccoy Ct #45 Lodi, CA 95240-8109",95240,9/17/2012,29000,1/31/2013,50.95,2/20/2013,35000
"445 Almond Dr #37 Lodi, CA 95240-6342",95240,3/2/2011,35000,3/27/2012,37.04,6/11/2012,36000
"445 Almond Dr #98 Lodi, CA 95240-6372",95240,3/29/2012,37000,6/1/2012,39.22,6/13/2012,36000
"532-1/2 E Locust St Lodi, CA 95240-2324",95240,12/11/2012,39990,2/1/2013,96.35,2/27/2013,37000
"445 E Almond Dr #15 Lodi, CA 95240-6339",95240,8/3/2011,39000,12/15/2011,38.58,1/26/2012,37500
"700 Mccoy Ct #10 Lodi, CA 95240-8103",95240,6/5/2009,24900,7/27/2009,44.55,8/19/2009,38000
"445 Almond Dr #129 Lodi, CA 95240-6347",95240,12/10/2009,39900,2/3/2010,42.04,2/24/2010,38000
"445 Almond Dr #5 Lodi, CA 95240-6337",95240,2/25/2011,38900,5/25/2011,45.24,6/8/2011,38000
"110 E Lawrence Ave Lodi, CA 95240-0602",95240,9/6/2011,39900,9/12/2011,61.29,9/27/2011,38000
"417-1/2 Flora St Lodi, CA 95240-4209",95240,7/23/2010,38160,7/29/2010,58.03,8/25/2010,38300
"1819 S Cherokee Ln #38 Lodi, CA 95240",95240,2/28/2012,38900,4/9/2012,48.75,4/24/2012,38900
"445 Almond Dr #29 Lodi, CA 95240-6341",95240,12/1/2009,41900,2/1/2010,46.43,2/3/2010,39000
"445 Almond Dr #111 Lodi, CA 95240-6345",95240,1/15/2010,41000,2/12/2010,37.32,4/1/2010,39000
"445 E Almond - 60 Dr Lodi, CA 95240",95240,6/14/2011,44950,6/25/2011,42.48,7/15/2011,39000
"445 Almond - 68 Dr Lodi, CA 95240",95240,8/10/2011,39900,12/12/2011,42.48,1/13/2012,39000
"700 Mccoy Ct #40 Lodi, CA 95240-8109",95240,6/24/2013,31000,9/4/2013,56.77,12/3/2013,39000
"445 Almond Dr #32 Lodi, CA 95240-6341",95240,1/8/2010,39900,2/16/2010,47.26,3/3/2010,39700
"445 Almond Dr #56 Lodi, CA 95240-6336",95240,10/8/2010,39900,11/6/2010,43.46,12/7/2010,39900
"445 E Almond Dr #44 Lodi, CA 95240",95240,12/30/2010,45900,1/8/2011,47.5,1/24/2011,39900
"700 Mccoy Ct #38 Lodi, CA 95240-8109",95240,8/9/2011,42500,11/24/2011,46.78,12/9/2011,39900
"445 E Almond Dr #145 Lodi, CA 95240",95240,8/14/2013,39900,8/31/2013,67.17,10/2/2013,39900
"320-1/2 Flora St Lodi, CA 95240-4117",95240,10/21/2010,39950,11/3/2010,99.88,11/17/2010,39950
"740 N Mills Ave Lodi, CA 95242-2225",95242,5/15/2009,79000,8/17/2009,49.2,8/24/2009,40000
"535-1/2 Harold St Lodi, CA 95240-4368",95240,12/23/2009,46000,1/14/2010,46.3,1/27/2010,40000
"245 Hilborn St Lodi, CA 95240-4141",95240,6/10/2010,45000,8/3/2010,58.22,8/11/2010,40000
"331 Flora St Lodi, CA 95240-4116",95240,1/20/2011,44900,2/18/2011,47.62,3/28/2011,40000
"332 Daisy Ave Lodi, CA 95240-1108",95240,11/8/2011,40900,11/29/2011,46.19,12/13/2011,40000
"445 E Almond Dr #39 Lodi, CA 95240-6342",95240,9/1/2011,40000,10/1/2011,47.62,12/20/2011,40000
"211 N Central Ave Lodi, CA 95240-2305",95240,1/24/2012,55950,2/11/2012,55.4,2/24/2012,40000
"445 Almond Dr #3 Lodi, CA 95240-6337",95240,4/25/2012,41900,5/12/2012,47.62,6/8/2012,40000
"409 Concord St Lodi, CA 95240-5316",95240,8/3/2012,51900,8/21/2012,44.64,9/18/2012,40000
"700 Mccoy Ct #74 Lodi, CA 95240-7162",95240,9/28/2012,39950,10/1/2012,48.9,10/19/2012,40000
"611 N California St Lodi, CA 95240-1002",95240,3/18/2011,45000,4/8/2011,96.39,4/14/2011,40100
"211 Forrest Ave Lodi, CA 95240-1109",95240,1/20/2011,37500,8/5/2011,29.28,9/9/2011,40500
"311 E Lodi Ave Lodi, CA 95240-2910",95240,11/4/2009,54900,2/24/2010,43.07,4/9/2010,41000
"844 Rutledge Dr Lodi, CA 95242-2138",95242,12/20/2010,41000,4/22/2011,42.98,4/29/2011,41000
"1819 S Cherokee Ln #45 Lodi, CA 95240-6362",95240,7/25/2011,43300,10/5/2011,43.75,11/10/2011,42000
"625 N Church St #12 Lodi, CA 95240-1288",95240,10/13/2011,44000,12/20/2011,46.82,1/9/2012,42000
"445 Almond Dr #65 Lodi, CA 95240-6368",95240,5/4/2012,44900,8/15/2012,45.75,9/28/2012,42000
"700 Mccoy Ct #39 Lodi, CA 95240-8109",95240,1/16/2013,44900,1/31/2013,49.24,4/10/2013,42000
"2401 Eilers Ln #1104 Lodi, CA 95242-9105",95242,4/9/2011,49900,7/11/2011,45.36,8/11/2011,42500
"625 N Church St #3 Lodi, CA 95240-1288",95240,5/14/2012,39900,6/6/2012,47.38,6/14/2012,42500
"445 E Almond - 140 Dr Lodi, CA 95240",95240,1/15/2010,39600,7/28/2010,40.81,9/22/2010,42650
"216 E Tokay St Lodi, CA 95240-4143",95240,7/20/2010,42900,7/22/2010,51.93,8/13/2010,43000
"401 E Locust St Lodi, CA 95240-2321",95240,5/21/2012,50000,5/23/2012,46.31,7/11/2012,43300
"700 Mccoy Ct #16 Lodi, CA 95240-8103",95240,1/15/2010,39200,6/30/2010,51,9/2/2010,43500
"822 S Garfield St Lodi, CA 95240-5409",95240,12/12/2011,47900,2/9/2012,56.79,2/24/2012,43500
"2524 Winchester St #4 Lodi, CA 95240-8112",95240,11/5/2012,43500,11/8/2012,53.18,11/30/2012,43500
"1819 S Cherokee Ln #43 Lodi, CA 95240-6362",95240,8/3/2012,43500,8/28/2012,54.51,6/13/2013,43500
"2524 Winchester St #2 Lodi, CA 95240-8111",95240,8/6/2013,44900,8/30/2013,58.63,9/18/2013,43500
"445 Almond Dr #24 Lodi, CA 95240-6340",95240,5/9/2011,43900,5/20/2011,52.26,6/15/2011,43900
"407 S Washington St Lodi, CA 95240-4133",95240,8/27/2010,44000,10/15/2010,63.22,11/10/2010,44000
"878 Rutledge Dr Lodi, CA 95242-2136",95242,6/2/2011,44000,12/12/2011,46.12,12/22/2011,44000
"2401 Eilers Ln #206 Lodi, CA 95242-9105",95242,10/24/2011,46750,12/12/2011,46.96,12/29/2011,44000
"1819 Cherokee Ln #66 Lodi, CA 95240-6364",95240,11/30/2011,42500,12/20/2011,45.74,1/30/2012,44000
"312 S Garfield St Lodi, CA 95240-4202",95240,5/7/2012,40000,6/14/2012,55,6/27/2012,44000
"700 Mccoy Ct #12, Lodi, CA 95240-8103",95240,1/24/2013,49900,3/27/2013,51.4,4/12/2013,44000
"2524 Winchester St #10 Lodi, CA 95240-8111",95240,2/27/2013,44900,4/9/2013,53.79,5/24/2013,44000
"445 Almond Dr #10 Lodi, CA 95240-6338",95240,4/8/2010,44900,4/19/2010,53.45,6/24/2010,44900
"904 Rutledge Dr Lodi, CA 95242-2141",95242,4/8/2011,44900,4/21/2011,47.07,5/10/2011,44900
"719 N School St Lodi, CA 95240-1268",95240,3/1/2012,44900,5/25/2012,33.31,6/27/2012,44900
